cr_id,gender,age,race
1000933,FEMALE,16.0,BLACK
1000933,FEMALE,16.0,BLACK
1000933,FEMALE,18.0,BLACK
1000933,FEMALE,43.0,BLACK
1000933,FEMALE,22.0,BLACK
1000949,MALE,31.0,BLACK
1000951,MALE,27.0,HISPANIC
1000956,MALE,37.0,BLACK
1000960,MALE,27.0,BLACK
1000961,MALE,32.0,BLACK
1000962,MALE,29.0,BLACK
1000968,MALE,25.0,BLACK
1000976,FEMALE,62.0,BLACK
1000978,MALE,,BLACK
1000984,FEMALE,24.0,BLACK
1000986,MALE,37.0,BLACK
1000995,MALE,50.0,HISPANIC
1001001,MALE,,BLACK
1001002,FEMALE,45.0,HISPANIC
1001024,MALE,27.0,BLACK
1001025,MALE,29.0,HISPANIC
1001031,MALE,24.0,BLACK
1001031,MALE,23.0,BLACK
1001035,MALE,23.0,BLACK
1001035,MALE,30.0,BLACK
1001044,MALE,29.0,BLACK
1001047,MALE,34.0,BLACK
1001050,MALE,31.0,WHITE
1001054,MALE,27.0,HISPANIC
1001055,MALE,,BLACK
1001082,MALE,46.0,BLACK
1001095,MALE,36.0,
1001096,FEMALE,,BLACK
1001099,MALE,44.0,BLACK
1001117,FEMALE,54.0,ASIAN/PACIFIC ISLANDER
1001123,MALE,26.0,BLACK
1001127,FEMALE,,BLACK
1001127,FEMALE,,BLACK
1001141,MALE,,BLACK
1001147,MALE,39.0,BLACK
1001166,MALE,26.0,BLACK
1001166,MALE,36.0,BLACK
1001177,FEMALE,24.0,BLACK
1001202,MALE,,BLACK
1001205,MALE,39.0,BLACK
1001207,MALE,26.0,HISPANIC
1001208,MALE,36.0,WHITE
1001219,MALE,,BLACK
1001220,MALE,30.0,BLACK
1001222,MALE,59.0,BLACK
1001223,MALE,33.0,BLACK
1001224,MALE,30.0,BLACK
1001229,MALE,37.0,BLACK
1001232,MALE,26.0,BLACK
1001235,MALE,28.0,BLACK
1001235,MALE,23.0,BLACK
1001235,MALE,25.0,BLACK
1001235,MALE,26.0,BLACK
1001248,MALE,33.0,BLACK
1001278,FEMALE,38.0,WHITE
1001280,MALE,38.0,BLACK
1001282,MALE,47.0,HISPANIC
1001283,MALE,27.0,BLACK
1001285,MALE,59.0,BLACK
1001285,MALE,50.0,BLACK
1001288,MALE,41.0,HISPANIC
1001297,FEMALE,33.0,BLACK
1001297,MALE,37.0,BLACK
1001301,MALE,38.0,BLACK
1001301,FEMALE,15.0,BLACK
1001304,FEMALE,25.0,BLACK
1001312,FEMALE,26.0,BLACK
1001314,MALE,27.0,BLACK
1001332,MALE,24.0,BLACK
1001338,MALE,28.0,HISPANIC
1001339,MALE,,
1001341,FEMALE,,BLACK
1001343,MALE,32.0,BLACK
1001348,MALE,24.0,BLACK
1001367,MALE,24.0,BLACK
1001375,MALE,26.0,BLACK
1001382,FEMALE,39.0,BLACK
1001382,MALE,39.0,BLACK
1001385,MALE,26.0,BLACK
1001395,FEMALE,39.0,BLACK
1001395,FEMALE,49.0,BLACK
1001395,FEMALE,69.0,BLACK
1001395,MALE,26.0,BLACK
1001402,MALE,25.0,HISPANIC
1001404,MALE,43.0,BLACK
1001406,MALE,,WHITE
1001412,MALE,30.0,HISPANIC
1001419,MALE,37.0,WHITE
1001421,MALE,37.0,HISPANIC
1001449,MALE,,BLACK
1001454,MALE,67.0,WHITE
1001456,MALE,,
1001456,FEMALE,,
1001457,FEMALE,59.0,BLACK
1001458,FEMALE,32.0,BLACK
1001458,MALE,37.0,BLACK
1001466,FEMALE,24.0,BLACK
1001467,FEMALE,24.0,HISPANIC
1001467,MALE,31.0,HISPANIC
1001469,MALE,27.0,BLACK
1001471,MALE,27.0,BLACK
1001476,MALE,27.0,BLACK
1001480,MALE,,BLACK
1001492,MALE,30.0,ASIAN/PACIFIC ISLANDER
1001494,MALE,51.0,BLACK
1001499,FEMALE,36.0,WHITE
1001499,MALE,37.0,HISPANIC
1001509,MALE,,WHITE
1001515,MALE,33.0,BLACK
1001517,FEMALE,61.0,BLACK
1001525,FEMALE,27.0,WHITE
1001527,MALE,24.0,BLACK
1001539,FEMALE,52.0,BLACK
1001544,MALE,25.0,HISPANIC
1001547,MALE,24.0,BLACK
1001550,MALE,28.0,BLACK
1001554,MALE,24.0,BLACK
1001555,MALE,25.0,BLACK
1001556,MALE,40.0,WHITE
1001558,MALE,28.0,BLACK
1001574,MALE,35.0,BLACK
1001576,MALE,31.0,BLACK
1001578,MALE,35.0,BLACK
1001578,MALE,27.0,BLACK
1001581,FEMALE,,
1001588,MALE,40.0,BLACK
1001596,MALE,23.0,ASIAN/PACIFIC ISLANDER
1001605,MALE,26.0,BLACK
1001607,MALE,35.0,BLACK
1001608,MALE,25.0,WHITE
1001609,FEMALE,29.0,BLACK
1001610,MALE,56.0,WHITE
1001628,MALE,23.0,BLACK
1001628,MALE,,BLACK
1001628,MALE,,BLACK
1001639,MALE,24.0,BLACK
1001642,MALE,90.0,BLACK
1001649,MALE,40.0,BLACK
1001657,MALE,26.0,BLACK
1001659,MALE,,BLACK
1001668,MALE,24.0,BLACK
1001670,MALE,47.0,BLACK
1001680,MALE,27.0,BLACK
